country,osm_id,town,lat,lon
South Sudan,83037194,Gogrial,8.5315144,28.0996528
South Sudan,204367085,Kajo Keji,3.886761,31.66872
South Sudan,205418847,Kapoeta,4.771099,33.58823
South Sudan,205467269,Lainya,4.3430698,31.0726888
South Sudan,205495747,Mundri,5.346478,30.3221909
South Sudan,205496460,Mongalla,5.1998722,31.7699131
South Sudan,205496879,Terekeka,5.450554,31.753986
South Sudan,205498533,Moli,4.0289675,31.9543738
South Sudan,205503577,Torit,4.4134231,32.5686267
South Sudan,206810433,Magwi,4.127944,32.299641
South Sudan,208188702,Minkamman,6.0552668,31.5150537
South Sudan,208347861,Yirol,6.5556669,30.5057821
South Sudan,210186424,Shambe,7.1054884,30.7730423
South Sudan,210314672,Mayendit,8.1444578,30.0029271
South Sudan,210331520,Adok,8.1908607,30.3060981
South Sudan,210338561,Rupkona Market,9.2894233,29.7895084
South Sudan,210366226,Akot,6.5452923,30.0377043
South Sudan,210421241,Kodok كودوك‎,9.8875,32.108345
South Sudan,216504434,Lafon,5.0289515,32.4731135
South Sudan,217893617,Maridi,4.9143633,29.4645282
South Sudan,217939859,Mvolo,6.0601276,29.9519341
South Sudan,225058040,Boma,6.1824839,34.3922514
South Sudan,228776238,Jambo,5.0655631,30.7342413
South Sudan,231017333,Amadi,5.5159611,30.3366391
South Sudan,231017352,Tali,5.900151,30.7744676
South Sudan,231017374,Kemande,5.4246599,30.3904162
South Sudan,234617041,Nyamliell,9.1350893,26.9794018
South Sudan,234685791,Malualkon,9.0177712,27.6266686
South Sudan,234776477,Akon,8.8844558,27.9578664
South Sudan,237163366,Raja,8.4681785,25.6773971
South Sudan,238610118,أبيي,9.6044573,28.4334735
South Sudan,238666389,Ajackwac,9.3476861,28.7723361
South Sudan,238717573,Duk Padiet,7.7497653,31.3959666
South Sudan,239152146,Tindalo,5.660835,31.0637237
South Sudan,239218524,Kuajiena,7.5096796,28.2738164
South Sudan,239256953,Warrap,8.1112116,28.6383929
South Sudan,240447970,Nagasi,4.922576,28.0330202
South Sudan,240475577,Ikotos,4.077852,33.106516
South Sudan,240489900,Rokon,5.1319538,30.9416471
South Sudan,241490527,Bisellia,7.7590006,27.6964152
South Sudan,241491064,Marial Baai,9.106511,26.8534486
South Sudan,241501075,Tambura,5.6097875,27.4694814
South Sudan,241772105,Bo River,6.8031518,27.9428255
South Sudan,241778447,Pochalla,7.1866831,34.0980112
South Sudan,241785452,Chukudum,4.232823,33.49535
South Sudan,241786826,Kassangor,5.7587245,33.9471704
South Sudan,241889949,Nzara,4.6443567,28.2588398
South Sudan,242925196,Deim Zubeir,7.7180637,26.1961458
South Sudan,243186194,Lobira,4.416007,33.05916
South Sudan,243204823,Kimotong,4.7155758,33.2479838
South Sudan,243228365,Alek,8.6700991,28.1489438
South Sudan,243414698,Malau_Pech,7.0587473,29.0982928
South Sudan,243414699,Thiet,7.6082086,28.8101941
South Sudan,243415643,Maiwut,8.6102726,33.9241607
South Sudan,243415872,Doleib Hill,9.3815604,31.5785302
South Sudan,243425912,Naseer,8.6182809,33.0613527
South Sudan,243440245,Akak,9.068135,28.1157662
South Sudan,243450695,Mvolo,6.0297877,29.9366697
South Sudan,243451506,Paguir,9.119437,30.7665154
South Sudan,243451821,Mayom,9.225451,29.1672574
South Sudan,243454869,Madebe,4.7998174,28.9993454
South Sudan,408758685,Morobo,3.6853356,30.7751244
South Sudan,435516605,Ezo,5.0857047,27.466719
South Sudan,435797976,Mambe,5.0242656,29.7129773
South Sudan,1364310270,Abukadara,11.8341258,32.7984026
South Sudan,1815729601,Keyala,4.4618214,32.8718177
South Sudan,2093500289,Camp 15,4.5169966,33.3229668
South Sudan,2107877032,NA,8.4381925,25.0018768
South Sudan,2107891739,Minamba,8.474258,25.1704313
South Sudan,2146403255,أكوك Agok,9.3494096,28.5804778
South Sudan,2146406951,Tonga,9.472828,31.045723
South Sudan,2146809997,New Fangak,9.4073225,31.162239
