,osm_id,FID,geometry,GRUMP2000_PopTot
0,27564946,260,"POLYGON ((6.491667 36.466667, 6.5 36.466667, 6.5 36.458333, 6.508333 36.458333, 6.508333 36.466667, 6.55 36.466667, 6.55 36.45, 6.558333 36.45, 6.558333 36.433333, 6.575 36.433333, 6.575 36.441667, 6.6 36.441667, 6.6 36.433333, 6.608333 36.433333, 6.608333 36.425, 6.616667 36.425, 6.616667 36.433333, 6.625 36.433333, 6.625 36.425, 6.691667 36.425, 6.691667 36.433333, 6.75 36.433333, 6.758333 36.433333, 6.758333 36.441667, 6.766667 36.441667, 6.766667 36.45, 6.775 36.45, 6.775 36.441667, 6.766667 36.441667, 6.766667 36.425, 6.758333 36.425, 6.758333 36.416667, 6.75 36.416667, 6.75 36.408333, 6.741667 36.408333, 6.741667 36.4, 6.733333 36.4, 6.733333 36.391667, 6.725 36.391667, 6.716667 36.391667, 6.716667 36.383333, 6.708333 36.383333, 6.691667 36.383333, 6.691667 36.358333, 6.683333 36.358333, 6.683333 36.341667, 6.691667 36.341667, 6.691667 36.333333, 6.7 36.333333, 6.7 36.308333, 6.691667 36.308333, 6.691667 36.3, 6.683333 36.3, 6.666667 36.3, 6.666667 36.291667, 6.658333 36.291667, 6.658333 36.283333, 6.666667 36.283333, 6.666667 36.275, 6.658333 36.275, 6.641667 36.275, 6.641667 36.258333, 6.625 36.258333, 6.625 36.266667, 6.616667 36.266667, 6.616667 36.283333, 6.591667 36.283333, 6.591667 36.3, 6.583333 36.3, 6.583333 36.308333, 6.575 36.308333, 6.575 36.3, 6.566667 36.3, 6.566667 36.291667, 6.558333 36.291667, 6.558333 36.333333, 6.541667 36.333333, 6.541667 36.35, 6.533333 36.35, 6.533333 36.416667, 6.525 36.416667, 6.525 36.425, 6.516667 36.425, 6.516667 36.433333, 6.508333 36.433333, 6.508333 36.441667, 6.5 36.441667, 6.5 36.45, 6.491667 36.45, 6.491667 36.466667))",554214.5264282227
1,27565103,497,"POLYGON ((-0.566667 35.775, -0.55 35.775, -0.55 35.766667, -0.525 35.766667, -0.525 35.775, -0.508333 35.775, -0.508333 35.766667, -0.516667 35.766667, -0.516667 35.758333, -0.508333 35.758333, -0.508333 35.75, -0.516667 35.75, -0.516667 35.716667, -0.491667 35.716667, -0.491667 35.725, -0.483333 35.725, -0.483333 35.716667, -0.475 35.716667, -0.475 35.708333, -0.458333 35.708333, -0.458333 35.716667, -0.45 35.716667, -0.45 35.7, -0.441667 35.7, -0.441667 35.683333, -0.433333 35.683333, -0.433333 35.675, -0.441667 35.675, -0.466667 35.675, -0.466667 35.666667, -0.458333 35.666667, -0.458333 35.65, -0.441667 35.65, -0.441667 35.641667, -0.45 35.641667, -0.45 35.633333, -0.483333 35.633333, -0.483333 35.641667, -0.558333 35.641667, -0.558333 35.65, -0.575 35.65, -0.575 35.641667, -0.583333 35.641667, -0.583333 35.658333, -0.6 35.658333, -0.6 35.625, -0.608333 35.625, -0.608333 35.608333, -0.616667 35.608333, -0.675 35.608333, -0.675 35.6, -0.683333 35.6, -0.683333 35.616667, -0.675 35.616667, -0.675 35.641667, -0.708333 35.641667, -0.708333 35.683333, -0.7166670000000001 35.683333, -0.7166670000000001 35.708333, -0.733333 35.708333, -0.733333 35.725, -0.725 35.725, -0.725 35.733333, -0.708333 35.733333, -0.708333 35.725, -0.7 35.725, -0.7 35.716667, -0.616667 35.716667, -0.616667 35.725, -0.608333 35.725, -0.6 35.725, -0.6 35.733333, -0.5916670000000001 35.733333, -0.5916670000000001 35.741667, -0.583333 35.741667, -0.583333 35.75, -0.575 35.75, -0.575 35.766667, -0.566667 35.766667, -0.566667 35.775))",932187.8309631348
2,262963217,1213,"POLYGON ((6.883333 33.433333, 6.9 33.433333, 6.9 33.416667, 6.908333 33.416667, 6.908333 33.408333, 6.916667 33.408333, 6.916667 33.391667, 6.925 33.391667, 6.925 33.375, 6.933333 33.375, 6.933333 33.358333, 6.925 33.358333, 6.891667 33.358333, 6.891667 33.341667, 6.883333 33.341667, 6.866667 33.341667, 6.866667 33.333333, 6.858333 33.333333, 6.85 33.333333, 6.85 33.308333, 6.841667 33.308333, 6.841667 33.3, 6.833333 33.3, 6.833333 33.325, 6.825 33.325, 6.825 33.341667, 6.816667 33.341667, 6.816667 33.358333, 6.808333 33.358333, 6.808333 33.375, 6.816667 33.375, 6.825 33.375, 6.825 33.383333, 6.833333 33.383333, 6.833333 33.391667, 6.841667 33.391667, 6.85 33.391667, 6.85 33.4, 6.858333 33.4, 6.858333 33.408333, 6.866667 33.408333, 6.875 33.408333, 6.875 33.416667, 6.883333 33.416667, 6.883333 33.433333))",107789.54278564453
3,288387133,70,"POLYGON ((3.008333 36.825, 3.016667 36.825, 3.016667 36.816667, 3.041667 36.816667, 3.041667 36.808333, 3.05 36.808333, 3.05 36.8, 3.066667 36.8, 3.066667 36.791667, 3.075 36.791667, 3.075 36.783333, 3.066667 36.783333, 3.066667 36.766667, 3.083333 36.766667, 3.083333 36.75, 3.125 36.75, 3.125 36.741667, 3.166667 36.741667, 3.166667 36.75, 3.183333 36.75, 3.191667 36.75, 3.191667 36.758333, 3.2 36.758333, 3.208333 36.758333, 3.208333 36.766667, 3.216667 36.766667, 3.225 36.766667, 3.225 36.783333, 3.233333 36.783333, 3.233333 36.8, 3.225 36.8, 3.225 36.816667, 3.258333 36.816667, 3.258333 36.808333, 3.275 36.808333, 3.275 36.8, 3.308333 36.8, 3.308333 36.791667, 3.333333 36.791667, 3.333333 36.783333, 3.366667 36.783333, 3.366667 36.775, 3.391667 36.775, 3.391667 36.766667, 3.416667 36.766667, 3.416667 36.741667, 3.425 36.741667, 3.425 36.733333, 3.433333 36.733333, 3.433333 36.716667, 3.441667 36.716667, 3.441667 36.708333, 3.458333 36.708333, 3.458333 36.7, 3.466667 36.7, 3.466667 36.666667, 3.458333 36.666667, 3.433333 36.666667, 3.433333 36.675, 3.425 36.675, 3.425 36.666667, 3.408333 36.666667, 3.408333 36.675, 3.4 36.675, 3.4 36.658333, 3.383333 36.658333, 3.383333 36.666667, 3.358333 36.666667, 3.358333 36.675, 3.35 36.675, 3.35 36.683333, 3.325 36.683333, 3.325 36.691667, 3.316667 36.691667, 3.316667 36.708333, 3.3 36.708333, 3.3 36.683333, 3.291667 36.683333, 3.291667 36.675, 3.3 36.675, 3.3 36.658333, 3.291667 36.658333, 3.283333 36.658333, 3.283333 36.65, 3.275 36.65, 3.275 36.641667, 3.283333 36.641667, 3.283333 36.633333, 3.3 36.633333, 3.3 36.625, 3.291667 36.625, 3.291667 36.616667, 3.283333 36.616667, 3.258333 36.616667, 3.258333 36.608333, 3.25 36.608333, 3.241667 36.608333, 3.241667 36.6, 3.233333 36.6, 3.225 36.6, 3.225 36.591667, 3.216667 36.591667, 3.216667 36.575, 3.183333 36.575, 3.183333 36.616667, 3.191667 36.616667, 3.191667 36.625, 3.2 36.625, 3.2 36.641667, 3.191667 36.641667, 3.191667 36.65, 3.183333 36.65, 3.183333 36.641667, 3.158333 36.641667, 3.158333 36.65, 3.141667 36.65, 3.141667 36.641667, 3.133333 36.641667, 3.108333 36.641667, 3.108333 36.633333, 3.1 36.633333, 3.1 36.641667, 3.091667 36.641667, 3.091667 36.633333, 3.025 36.633333, 3.025 36.641667, 3.008333 36.641667, 3.008333 36.633333, 3 36.633333, 2.983333 36.633333, 2.983333 36.625, 2.958333 36.625, 2.958333 36.641667, 2.95 36.641667, 2.95 36.633333, 2.883333 36.633333, 2.883333 36.658333, 2.891667 36.658333, 2.9 36.658333, 2.9 36.666667, 2.916667 36.666667, 2.925 36.666667, 2.925 36.683333, 2.933333 36.683333, 2.933333 36.7, 2.908333 36.7, 2.908333 36.691667, 2.891667 36.691667, 2.891667 36.708333, 2.883333 36.708333, 2.883333 36.716667, 2.875 36.716667, 2.875 36.7, 2.866667 36.7, 2.858333 36.7, 2.858333 36.666667, 2.85 36.666667, 2.833333 36.666667, 2.833333 36.658333, 2.825 36.658333, 2.8 36.658333, 2.8 36.65, 2.816667 36.65, 2.816667 36.641667, 2.825 36.641667, 2.825 36.625, 2.833333 36.625, 2.833333 36.608333, 2.825 36.608333, 2.825 36.6, 2.816667 36.6, 2.783333 36.6, 2.783333 36.591667, 2.775 36.591667, 2.775 36.6, 2.758333 36.6, 2.758333 36.625, 2.741667 36.625, 2.741667 36.641667, 2.733333 36.641667, 2.733333 36.633333, 2.725 36.633333, 2.716667 36.633333, 2.716667 36.616667, 2.708333 36.616667, 2.708333 36.608333, 2.7 36.608333, 2.683333 36.608333, 2.683333 36.6, 2.675 36.6, 2.666667 36.6, 2.666667 36.591667, 2.658333 36.591667, 2.658333 36.6, 2.65 36.6, 2.65 36.625, 2.658333 36.625, 2.666667 36.625, 2.666667 36.641667, 2.675 36.641667, 2.683333 36.641667, 2.683333 36.65, 2.691667 36.65, 2.7 36.65, 2.7 36.658333, 2.708333 36.658333, 2.716667 36.658333, 2.716667 36.666667, 2.725 36.666667, 2.733333 36.666667, 2.733333 36.675, 2.75 36.675, 2.758333 36.675, 2.758333 36.683333, 2.775 36.683333, 2.783333 36.683333, 2.783333 36.691667, 2.791667 36.691667, 2.8 36.691667, 2.8 36.7, 2.808333 36.7, 2.816667 36.7, 2.816667 36.708333, 2.825 36.708333, 2.825 36.716667, 2.833333 36.716667, 2.833333 36.725, 2.841667 36.725, 2.841667 36.766667, 2.85 36.766667, 2.85 36.758333, 2.866667 36.758333, 2.866667 36.766667, 2.875 36.766667, 2.883333 36.766667, 2.883333 36.775, 2.891667 36.775, 2.891667 36.791667, 2.9 36.791667, 2.9 36.8, 2.891667 36.8, 2.891667 36.808333, 2.941667 36.808333, 2.95 36.808333, 2.95 36.816667, 3 36.816667, 3.008333 36.816667, 3.008333 36.825))",3015573.3845825195
4,288417925,292,"POLYGON ((2.75 36.341667, 2.758333 36.341667, 2.758333 36.333333, 2.766667 36.333333, 2.766667 36.325, 2.775 36.325, 2.775 36.316667, 2.783333 36.316667, 2.783333 36.308333, 2.791667 36.308333, 2.791667 36.3, 2.8 36.3, 2.8 36.283333, 2.808333 36.283333, 2.808333 36.275, 2.816667 36.275, 2.816667 36.266667, 2.825 36.266667, 2.825 36.258333, 2.816667 36.258333, 2.816667 36.25, 2.808333 36.25, 2.808333 36.241667, 2.8 36.241667, 2.775 36.241667, 2.775 36.233333, 2.733333 36.233333, 2.733333 36.241667, 2.725 36.241667, 2.725 36.258333, 2.733333 36.258333, 2.733333 36.275, 2.725 36.275, 2.725 36.325, 2.733333 36.325, 2.733333 36.333333, 2.741667 36.333333, 2.75 36.333333, 2.75 36.341667))",127987.5951538086
5,288418022,203,"POLYGON ((2.883333 36.616667, 2.9 36.616667, 2.9 36.608333, 2.916667 36.608333, 2.916667 36.6, 2.941667 36.6, 2.941667 36.608333, 2.958333 36.608333, 2.958333 36.583333, 2.966667 36.583333, 2.966667 36.566667, 2.975 36.566667, 2.975 36.558333, 2.966667 36.558333, 2.958333 36.558333, 2.958333 36.55, 2.95 36.55, 2.95 36.525, 2.941667 36.525, 2.941667 36.516667, 2.933333 36.516667, 2.916667 36.516667, 2.916667 36.508333, 2.925 36.508333, 2.925 36.483333, 2.933333 36.483333, 2.933333 36.475, 2.925 36.475, 2.925 36.466667, 2.916667 36.466667, 2.916667 36.475, 2.908333 36.475, 2.908333 36.466667, 2.891667 36.466667, 2.891667 36.475, 2.9 36.475, 2.9 36.491667, 2.883333 36.491667, 2.883333 36.458333, 2.891667 36.458333, 2.891667 36.441667, 2.883333 36.441667, 2.883333 36.45, 2.875 36.45, 2.875 36.458333, 2.866667 36.458333, 2.866667 36.466667, 2.858333 36.466667, 2.858333 36.45, 2.866667 36.45, 2.866667 36.441667, 2.841667 36.441667, 2.841667 36.458333, 2.833333 36.458333, 2.833333 36.466667, 2.8 36.466667, 2.8 36.458333, 2.758333 36.458333, 2.758333 36.466667, 2.75 36.466667, 2.75 36.483333, 2.741667 36.483333, 2.741667 36.491667, 2.733333 36.491667, 2.733333 36.508333, 2.766667 36.508333, 2.775 36.508333, 2.775 36.516667, 2.783333 36.516667, 2.791667 36.516667, 2.791667 36.525, 2.783333 36.525, 2.783333 36.541667, 2.791667 36.541667, 2.8 36.541667, 2.8 36.55, 2.808333 36.55, 2.816667 36.55, 2.816667 36.566667, 2.825 36.566667, 2.833333 36.566667, 2.833333 36.575, 2.85 36.575, 2.85 36.566667, 2.858333 36.566667, 2.858333 36.55, 2.866667 36.55, 2.875 36.55, 2.875 36.6, 2.883333 36.6, 2.891667 36.6, 2.891667 36.608333, 2.883333 36.608333, 2.883333 36.616667))",372004.6951904297
6,291964008,404,"POLYGON ((4.833333 36.125, 4.841667 36.125, 4.841667 36.075, 4.833333 36.075, 4.816667 36.075, 4.816667 36.066667, 4.808333 36.066667, 4.8 36.066667, 4.8 36.058333, 4.791667 36.058333, 4.783333 36.058333, 4.783333 36.041667, 4.775 36.041667, 4.775 36.033333, 4.766667 36.033333, 4.766667 36.025, 4.758333 36.025, 4.758333 36.016667, 4.741667 36.016667, 4.741667 36.025, 4.733333 36.025, 4.733333 36.033333, 4.725 36.033333, 4.725 36.041667, 4.716667 36.041667, 4.716667 36.05, 4.7 36.05, 4.7 36.066667, 4.691667 36.066667, 4.691667 36.091667, 4.7 36.091667, 4.7 36.1, 4.708333 36.1, 4.708333 36.091667, 4.716667 36.091667, 4.716667 36.1, 4.733333 36.1, 4.733333 36.091667, 4.741667 36.091667, 4.741667 36.1, 4.75 36.1, 4.75 36.108333, 4.775 36.108333, 4.775 36.1, 4.783333 36.1, 4.783333 36.108333, 4.8 36.108333, 4.8 36.1, 4.808333 36.1, 4.808333 36.108333, 4.816667 36.108333, 4.825 36.108333, 4.825 36.116667, 4.833333 36.116667, 4.833333 36.125))",139450.46618652344
7,299617915,70,"POLYGON ((3.008333 36.825, 3.016667 36.825, 3.016667 36.816667, 3.041667 36.816667, 3.041667 36.808333, 3.05 36.808333, 3.05 36.8, 3.066667 36.8, 3.066667 36.791667, 3.075 36.791667, 3.075 36.783333, 3.066667 36.783333, 3.066667 36.766667, 3.083333 36.766667, 3.083333 36.75, 3.125 36.75, 3.125 36.741667, 3.166667 36.741667, 3.166667 36.75, 3.183333 36.75, 3.191667 36.75, 3.191667 36.758333, 3.2 36.758333, 3.208333 36.758333, 3.208333 36.766667, 3.216667 36.766667, 3.225 36.766667, 3.225 36.783333, 3.233333 36.783333, 3.233333 36.8, 3.225 36.8, 3.225 36.816667, 3.258333 36.816667, 3.258333 36.808333, 3.275 36.808333, 3.275 36.8, 3.308333 36.8, 3.308333 36.791667, 3.333333 36.791667, 3.333333 36.783333, 3.366667 36.783333, 3.366667 36.775, 3.391667 36.775, 3.391667 36.766667, 3.416667 36.766667, 3.416667 36.741667, 3.425 36.741667, 3.425 36.733333, 3.433333 36.733333, 3.433333 36.716667, 3.441667 36.716667, 3.441667 36.708333, 3.458333 36.708333, 3.458333 36.7, 3.466667 36.7, 3.466667 36.666667, 3.458333 36.666667, 3.433333 36.666667, 3.433333 36.675, 3.425 36.675, 3.425 36.666667, 3.408333 36.666667, 3.408333 36.675, 3.4 36.675, 3.4 36.658333, 3.383333 36.658333, 3.383333 36.666667, 3.358333 36.666667, 3.358333 36.675, 3.35 36.675, 3.35 36.683333, 3.325 36.683333, 3.325 36.691667, 3.316667 36.691667, 3.316667 36.708333, 3.3 36.708333, 3.3 36.683333, 3.291667 36.683333, 3.291667 36.675, 3.3 36.675, 3.3 36.658333, 3.291667 36.658333, 3.283333 36.658333, 3.283333 36.65, 3.275 36.65, 3.275 36.641667, 3.283333 36.641667, 3.283333 36.633333, 3.3 36.633333, 3.3 36.625, 3.291667 36.625, 3.291667 36.616667, 3.283333 36.616667, 3.258333 36.616667, 3.258333 36.608333, 3.25 36.608333, 3.241667 36.608333, 3.241667 36.6, 3.233333 36.6, 3.225 36.6, 3.225 36.591667, 3.216667 36.591667, 3.216667 36.575, 3.183333 36.575, 3.183333 36.616667, 3.191667 36.616667, 3.191667 36.625, 3.2 36.625, 3.2 36.641667, 3.191667 36.641667, 3.191667 36.65, 3.183333 36.65, 3.183333 36.641667, 3.158333 36.641667, 3.158333 36.65, 3.141667 36.65, 3.141667 36.641667, 3.133333 36.641667, 3.108333 36.641667, 3.108333 36.633333, 3.1 36.633333, 3.1 36.641667, 3.091667 36.641667, 3.091667 36.633333, 3.025 36.633333, 3.025 36.641667, 3.008333 36.641667, 3.008333 36.633333, 3 36.633333, 2.983333 36.633333, 2.983333 36.625, 2.958333 36.625, 2.958333 36.641667, 2.95 36.641667, 2.95 36.633333, 2.883333 36.633333, 2.883333 36.658333, 2.891667 36.658333, 2.9 36.658333, 2.9 36.666667, 2.916667 36.666667, 2.925 36.666667, 2.925 36.683333, 2.933333 36.683333, 2.933333 36.7, 2.908333 36.7, 2.908333 36.691667, 2.891667 36.691667, 2.891667 36.708333, 2.883333 36.708333, 2.883333 36.716667, 2.875 36.716667, 2.875 36.7, 2.866667 36.7, 2.858333 36.7, 2.858333 36.666667, 2.85 36.666667, 2.833333 36.666667, 2.833333 36.658333, 2.825 36.658333, 2.8 36.658333, 2.8 36.65, 2.816667 36.65, 2.816667 36.641667, 2.825 36.641667, 2.825 36.625, 2.833333 36.625, 2.833333 36.608333, 2.825 36.608333, 2.825 36.6, 2.816667 36.6, 2.783333 36.6, 2.783333 36.591667, 2.775 36.591667, 2.775 36.6, 2.758333 36.6, 2.758333 36.625, 2.741667 36.625, 2.741667 36.641667, 2.733333 36.641667, 2.733333 36.633333, 2.725 36.633333, 2.716667 36.633333, 2.716667 36.616667, 2.708333 36.616667, 2.708333 36.608333, 2.7 36.608333, 2.683333 36.608333, 2.683333 36.6, 2.675 36.6, 2.666667 36.6, 2.666667 36.591667, 2.658333 36.591667, 2.658333 36.6, 2.65 36.6, 2.65 36.625, 2.658333 36.625, 2.666667 36.625, 2.666667 36.641667, 2.675 36.641667, 2.683333 36.641667, 2.683333 36.65, 2.691667 36.65, 2.7 36.65, 2.7 36.658333, 2.708333 36.658333, 2.716667 36.658333, 2.716667 36.666667, 2.725 36.666667, 2.733333 36.666667, 2.733333 36.675, 2.75 36.675, 2.758333 36.675, 2.758333 36.683333, 2.775 36.683333, 2.783333 36.683333, 2.783333 36.691667, 2.791667 36.691667, 2.8 36.691667, 2.8 36.7, 2.808333 36.7, 2.816667 36.7, 2.816667 36.708333, 2.825 36.708333, 2.825 36.716667, 2.833333 36.716667, 2.833333 36.725, 2.841667 36.725, 2.841667 36.766667, 2.85 36.766667, 2.85 36.758333, 2.866667 36.758333, 2.866667 36.766667, 2.875 36.766667, 2.883333 36.766667, 2.883333 36.775, 2.891667 36.775, 2.891667 36.791667, 2.9 36.791667, 2.9 36.8, 2.891667 36.8, 2.891667 36.808333, 2.941667 36.808333, 2.95 36.808333, 2.95 36.816667, 3 36.816667, 3.008333 36.816667, 3.008333 36.825))",3015573.3845825195
8,299618513,14,"POLYGON ((7.775 36.975, 7.791667 36.975, 7.791667 36.958333, 7.783333 36.958333, 7.783333 36.95, 7.775 36.95, 7.775 36.941667, 7.766667 36.941667, 7.766667 36.916667, 7.775 36.916667, 7.775 36.908333, 7.783333 36.908333, 7.783333 36.9, 7.775 36.9, 7.775 36.891667, 7.766667 36.891667, 7.766667 36.866667, 7.775 36.866667, 7.775 36.858333, 7.791667 36.858333, 7.791667 36.85, 7.816667 36.85, 7.816667 36.841667, 7.825 36.841667, 7.825 36.833333, 7.833333 36.833333, 7.833333 36.825, 7.825 36.825, 7.825 36.816667, 7.791667 36.816667, 7.791667 36.825, 7.733333 36.825, 7.733333 36.816667, 7.741667 36.816667, 7.741667 36.808333, 7.733333 36.808333, 7.733333 36.8, 7.725 36.8, 7.725 36.791667, 7.716667 36.791667, 7.708333 36.791667, 7.708333 36.783333, 7.591667 36.783333, 7.591667 36.816667, 7.6 36.816667, 7.6 36.825, 7.633333 36.825, 7.641667 36.825, 7.641667 36.833333, 7.658333 36.833333, 7.666667 36.833333, 7.666667 36.85, 7.658333 36.85, 7.658333 36.866667, 7.65 36.866667, 7.65 36.883333, 7.666667 36.883333, 7.666667 36.875, 7.675 36.875, 7.675 36.883333, 7.691667 36.883333, 7.7 36.883333, 7.7 36.908333, 7.708333 36.908333, 7.716667 36.908333, 7.716667 36.941667, 7.708333 36.941667, 7.708333 36.958333, 7.758333 36.958333, 7.766667 36.958333, 7.766667 36.966667, 7.775 36.966667, 7.775 36.975))",445731.2941894531
9,299619085,545,"POLYGON ((6.1 35.641667, 6.141667 35.641667, 6.141667 35.625, 6.15 35.625, 6.15 35.616667, 6.158333 35.616667, 6.158333 35.6, 6.166667 35.6, 6.166667 35.583333, 6.175 35.583333, 6.175 35.591667, 6.208333 35.591667, 6.208333 35.583333, 6.233333 35.583333, 6.233333 35.591667, 6.241667 35.591667, 6.241667 35.583333, 6.25 35.583333, 6.25 35.575, 6.266667 35.575, 6.266667 35.566667, 6.275 35.566667, 6.275 35.55, 6.266667 35.55, 6.266667 35.541667, 6.258333 35.541667, 6.233333 35.541667, 6.233333 35.533333, 6.225 35.533333, 6.225 35.516667, 6.2 35.516667, 6.2 35.525, 6.15 35.525, 6.15 35.533333, 6.141667 35.533333, 6.141667 35.525, 6.108333 35.525, 6.108333 35.533333, 6.1 35.533333, 6.1 35.541667, 6.091667 35.541667, 6.091667 35.55, 6.1 35.55, 6.108333 35.55, 6.108333 35.558333, 6.116667 35.558333, 6.125 35.558333, 6.125 35.575, 6.116667 35.575, 6.116667 35.591667, 6.108333 35.591667, 6.108333 35.6, 6.1 35.6, 6.1 35.608333, 6.091667 35.608333, 6.091667 35.616667, 6.083333 35.616667, 6.083333 35.633333, 6.091667 35.633333, 6.1 35.633333, 6.1 35.641667))",259046.57159423828
