country,osm_id,town,lat,lon
South Sudan,97922073,Juba,4.8472017,31.5951655
South Sudan,210325994,Leer,8.3049127,30.1419924
South Sudan,210414793,Malakal,9.5410608,31.6504255
South Sudan,227880231,Akobo,7.7928238,33.0031368
South Sudan,227880249,Waat,8.1783702,32.1518432
South Sudan,228735754,Yei,4.0926733,30.6773928
South Sudan,234617069,Aweil,8.7682451,27.3975765
South Sudan,237193709,Wau,7.6999269,27.9910035
South Sudan,237257414,Bor,6.2039927,31.5587285
South Sudan,238717535,Ayod,8.1237086,31.4124926
South Sudan,240434360,Melut,10.4395036,32.2081806
South Sudan,241778448,Pibor,6.7985679,33.1318968
South Sudan,241883142,Tonj,7.2737169,28.6844299
South Sudan,435669247,Yambio,4.5680716,28.39767
South Sudan,2096234512,Nimule,3.5969348,32.0601419
South Sudan,2613802518,Bentiu,9.2558478,29.8035497
South Sudan,2616003624,Renk,11.748914,32.816359
South Sudan,3275722461,Rumbek,6.8063901,29.6767488
