country,osm_id,town,lat,lon
Democratic Republic of the Congo,27043346,Kinshasa,-4.3217055,15.3125974
Democratic Republic of the Congo,27564973,Lubumbashi,-11.6642316,27.4826264
Democratic Republic of the Congo,27565034,Mbuji-Mayi,-6.1258942,23.5998111
Democratic Republic of the Congo,29806457,Mbanza-Ngungu,-5.2500086,14.8666614
Democratic Republic of the Congo,29806459,Boma,-5.85,13.05
Democratic Republic of the Congo,29808923,Mbandaka,0.0470732,18.2564803
Democratic Republic of the Congo,29808924,Bolobo,-2.166682,16.23333
Democratic Republic of the Congo,29809156,Kisangani,0.5184021,25.2057292
Democratic Republic of the Congo,60715164,Goma,-1.6665685,29.225652
Democratic Republic of the Congo,77186850,Bukama,-9.2020365,25.8525231
Democratic Republic of the Congo,83529422,Bunia,1.5620529,30.2478844
Democratic Republic of the Congo,83540909,Butembo,0.1249694,29.2919545
Democratic Republic of the Congo,254492355,Ilebo,-4.3316446,20.5882508
Democratic Republic of the Congo,256605435,Gemena,3.2549286,19.7750831
Democratic Republic of the Congo,435259164,Lisala,2.1473937,21.5156742
Democratic Republic of the Congo,435375999,Basoko,1.2324948,23.6056967
Democratic Republic of the Congo,435380660,Buta,2.7932581,24.7287054
Democratic Republic of the Congo,435402271,Bumba,2.1837441,22.466526
Democratic Republic of the Congo,435442354,Ankoro,-6.7550385,26.9432417
Democratic Republic of the Congo,435514019,Kindu,-2.9493766,25.9184499
Democratic Republic of the Congo,435579903,Kananga,-5.8951725,22.408589
Democratic Republic of the Congo,435602020,Masi Manimba,-4.77488,17.887
Democratic Republic of the Congo,435622276,Pweto,-8.4741061,28.8987099
Democratic Republic of the Congo,435668339,Kongolo,-5.3856439,26.9992427
Democratic Republic of the Congo,435708712,Bandundu,-3.3201862,17.3774958
Democratic Republic of the Congo,435755862,Kolwezi,-10.7169952,25.4669918
Democratic Republic of the Congo,435789385,Likasi,-10.9891601,26.7397418
Democratic Republic of the Congo,435804657,Boende,-0.2836634,20.8826368
Democratic Republic of the Congo,435818462,Beni,0.4939335,29.4653222
Democratic Republic of the Congo,435856567,Basankusu,1.2191683,19.8013697
Democratic Republic of the Congo,435884993,Uvira,-3.4055866,29.1375509
Democratic Republic of the Congo,436003765,Kamina,-8.7351826,25.0032201
Democratic Republic of the Congo,436044301,Bukavu,-2.5055839,28.8594885
Democratic Republic of the Congo,478528026,Isiro,2.7742702,27.6208169
Democratic Republic of the Congo,612128950,Libenge,3.6529378,18.6357362
Democratic Republic of the Congo,615209242,Tshikapa,-6.4230495,20.7887691
Democratic Republic of the Congo,615680928,Yakoma,4.106114,22.4449881
Democratic Republic of the Congo,616107947,Lodja,-3.5241628,23.5995098
Democratic Republic of the Congo,617136931,Baraka,-4.1056132,29.0950688
Democratic Republic of the Congo,620926685,Idiofa,-4.9699217,19.5885243
Democratic Republic of the Congo,621169404,Kanyama,-7.5094813,24.1715794
Democratic Republic of the Congo,621787290,Mwene-Ditu,-7.006496,23.4487976
Democratic Republic of the Congo,622518227,Sakania,-12.7486448,28.5562814
Democratic Republic of the Congo,623058773,Dilolo,-10.6866393,22.343521
Democratic Republic of the Congo,623134082,Musumba,-8.3614145,22.6415211
Democratic Republic of the Congo,629539512,Ngandajika,-6.7342539,23.9514378
Democratic Republic of the Congo,629648642,Kambove,-10.8760688,26.5959708
Democratic Republic of the Congo,663316914,Kenge,-4.8059503,17.038692
Democratic Republic of the Congo,667395750,Bambesa,3.4490912,25.6944046
Democratic Republic of the Congo,1168656433,Tshela,-4.98985,12.93935
Democratic Republic of the Congo,3415627480,Kalemie,-5.9460209,29.1967172
Democratic Republic of the Congo,3679354870,Lubutu,-0.7403356,26.5815525
Democratic Republic of the Congo,4713759630,Kirumba,-0.5597066,29.1885684
Democratic Republic of the Congo,4853946100,Likati,3.362353,23.8885454
Democratic Republic of the Congo,4882355591,Kikwit,-5.0383083,18.8178447
Democratic Republic of the Congo,4882355592,Matadi,-5.8256559,13.4609047
