country,osm_id,town,lat,lon
Democratic Republic of the Congo,27043347,Barumbu,-4.3168272,15.3269312
Democratic Republic of the Congo,27043358,Lingwala,-4.3286488,15.3019974
Democratic Republic of the Congo,27043362,Kintambo,-4.3395522,15.266192
Democratic Republic of the Congo,27043390,Kasa-Vubu,-4.3464741,15.304893
Democratic Republic of the Congo,29804794,Kasangulu,-4.5900244,15.1676574
Democratic Republic of the Congo,29806455,Ndjili,-4.4003061,15.3714491
Democratic Republic of the Congo,29808922,Makanza,1.6084795,19.1034796
Democratic Republic of the Congo,29808952,Irebu,-0.6054391,17.7778669
Democratic Republic of the Congo,29927348,Bumbu,-4.3710605,15.2934167
Democratic Republic of the Congo,29927349,Ngaliema,-4.3504214,15.2397132
Democratic Republic of the Congo,29927350,Ngaba,-4.3808917,15.323745
Democratic Republic of the Congo,29927352,Selembao,-4.3904506,15.2836656
Democratic Republic of the Congo,82673255,Inongo,-1.9253353,18.2863998
Democratic Republic of the Congo,83196295,Opala,-0.5096558,24.2298322
Democratic Republic of the Congo,83517617,Kasongo,-4.4283572,26.6700323
Democratic Republic of the Congo,84090204,Masia-Kwa,-3.078552,16.5295053
Democratic Republic of the Congo,84550807,Tshimbalanga,-9.734267,23.0759238
Democratic Republic of the Congo,85570936,Wanie-Rukula,0.1937489,25.5279174
Democratic Republic of the Congo,87032623,Bafwasende,0.9988842,27.1572905
Democratic Republic of the Congo,87739316,Punia,-1.460337,26.4413371
Democratic Republic of the Congo,87758425,Kalima,-2.5649518,26.6242198
Democratic Republic of the Congo,98869302,Lusambo,-4.9736384,23.4432792
Democratic Republic of the Congo,254107564,Dulia,2.9613141,24.1400461
Democratic Republic of the Congo,254108411,Kotili,2.8577456,24.5470018
Democratic Republic of the Congo,254441289,Lukolela,-1.0646958,17.1709475
Democratic Republic of the Congo,254450998,Isaka,-2.813134,17.7243794
Democratic Republic of the Congo,254452910,Kutu,-2.725003,18.147696
Democratic Republic of the Congo,254459348,Bulungu,-4.5358781,18.6005309
Democratic Republic of the Congo,254640432,Ubundu,-0.357654,25.43209
Democratic Republic of the Congo,255084439,Likimi,2.8291569,20.7503367
Democratic Republic of the Congo,255084454,Akula,2.3754105,20.1841974
Democratic Republic of the Congo,255133235,Mombongo,1.6428153,23.1589518
Democratic Republic of the Congo,255408855,Moba,-7.0427487,29.7737268
Democratic Republic of the Congo,255538935,Nyemba,-5.9591138,28.4267893
Democratic Republic of the Congo,255539016,Nyunzu,-5.9577181,28.0117894
Democratic Republic of the Congo,264466430,Bondo,3.8130096,23.6887171
Democratic Republic of the Congo,264542952,Duguru,4.9139709,19.8508332
Democratic Republic of the Congo,309175002,Seke-Banza,-5.3364,13.2753499
Democratic Republic of the Congo,310194500,Kabundji,-9.0660373,25.1677992
Democratic Republic of the Congo,310819376,Oicha,0.6967778,29.5172722
Democratic Republic of the Congo,310985979,Sake,-1.571281,29.053624
Democratic Republic of the Congo,311820037,Kalimva,3.1272962,29.5618522
Democratic Republic of the Congo,311820661,Niangara,3.6905911,27.8974119
Democratic Republic of the Congo,330335214,Madimba,-4.9875298,15.1504743
Democratic Republic of the Congo,330335221,Kisantu,-5.1367411,15.0592273
Democratic Republic of the Congo,382198330,Mbankana,-4.4491551,16.1994431
Democratic Republic of the Congo,435291603,Shabunda,-2.6933615,27.3438549
Democratic Republic of the Congo,435301238,Bikoro,-0.7367073,18.1338714
Democratic Republic of the Congo,435315432,Zongo,4.3436703,18.5945851
Democratic Republic of the Congo,435332321,Kabalo,-6.0500915,26.9160693
Democratic Republic of the Congo,435357707,Tshela,-5.0093031,12.9602161
Democratic Republic of the Congo,435398165,Mangai,-4.073071,19.5888434
Democratic Republic of the Congo,435443106,Yangambi,0.7658281,24.4733629
Democratic Republic of the Congo,435487454,Ngiri-Ngiri,-4.3591279,15.2968241
Democratic Republic of the Congo,435489521,Watsa,3.0398758,29.5328413
Democratic Republic of the Congo,435515963,Kalamu,-4.3542053,15.316754
Democratic Republic of the Congo,435553907,Libokora,0.3491134,29.6421183
Democratic Republic of the Congo,435574643,Kimbanseke,-4.4231864,15.3905497
Democratic Republic of the Congo,435603540,Masina,-4.3856239,15.3977771
Democratic Republic of the Congo,435611377,Lokandu,-2.537005,25.747398
Democratic Republic of the Congo,435658275,Kinzao,-5.4937481,13.2959858
Democratic Republic of the Congo,435680651,Sona-Bata,-4.9053974,15.1616089
Democratic Republic of the Congo,435681407,Mushie,-3.0154526,16.9232711
Democratic Republic of the Congo,435689329,Gombe,-4.3098008,15.2922238
Democratic Republic of the Congo,435704200,Oshwe,-3.4183714,19.4336118
Democratic Republic of the Congo,435754727,Kipese,-0.2382728,29.2919205
Democratic Republic of the Congo,435756790,Lwila,-4.8277255,15.1819467
Democratic Republic of the Congo,435790531,Kwamouth,-3.1820727,16.2044968
Democratic Republic of the Congo,435813842,Kibombo,-3.9224686,25.9282179
Democratic Republic of the Congo,435846536,Butusande,-1.148074,29.4304991
Democratic Republic of the Congo,435876905,Dibaya-Lubwe,-4.1567969,19.8624716
Democratic Republic of the Congo,435886547,Yumbi,-1.90318,16.556062
Democratic Republic of the Congo,435888891,Kibula,-8.8903751,25.4525854
Democratic Republic of the Congo,435894458,Bongandanga,1.5048009,21.074106
Democratic Republic of the Congo,435897813,Lwambo,-10.8133599,26.7424346
Democratic Republic of the Congo,435905459,Makala,-4.3775574,15.3051138
Democratic Republic of the Congo,435936831,Kabondo-Dianda,-8.9097088,25.6683638
Democratic Republic of the Congo,435959046,Bagata,-3.7263996,17.9521424
Democratic Republic of the Congo,435971627,Limete,-4.3550187,15.3349502
Democratic Republic of the Congo,435980447,Lediba,-3.053642,16.5463161
Democratic Republic of the Congo,435989874,Isangi,0.7795426,24.2690944
Democratic Republic of the Congo,435994822,Nioki,-2.720373,17.685412
Democratic Republic of the Congo,436062748,Kanyabayonga,-0.70048,29.170316
Democratic Republic of the Congo,436073651,Bena-Dibele,-4.0981776,22.8313069
Democratic Republic of the Congo,443256839,Aketi,2.7358578,23.7791277
Democratic Republic of the Congo,462145515,Kitchanga,-1.2504197,29.0607175
Democratic Republic of the Congo,478519180,Dungu,3.6195433,28.5699237
Democratic Republic of the Congo,592571351,Kizulu,-5.6075584,13.4484636
Democratic Republic of the Congo,612105925,Bunduki,2.4922532,23.3056798
Democratic Republic of the Congo,613409512,Sandoa,-9.6953428,22.8726686
Democratic Republic of the Congo,613426361,Bomili,1.6572,27.0032919
Democratic Republic of the Congo,613450119,Wamba,2.1435115,27.9938589
Democratic Republic of the Congo,613456924,Ingbea,2.412075,28.292775
Democratic Republic of the Congo,613460485,Andudu,2.5257782,28.7015759
Democratic Republic of the Congo,613478500,Mambasa,1.360333,29.035422
Democratic Republic of the Congo,613510125,Banalia,1.5564193,25.3200682
Democratic Republic of the Congo,613511898,Yata,1.1473811,23.6105567
Democratic Republic of the Congo,613525394,Yalemba,1.1079463,23.8064822
Democratic Republic of the Congo,613525406,Boanga,1.0384357,23.8430461
Democratic Republic of the Congo,613748698,Monkoto,-1.743868,20.687038
Democratic Republic of the Congo,614006405,Tshumbiri,-2.6388032,16.2444895
Democratic Republic of the Congo,614007244,Kunzulu,-3.4831929,16.1303347
Democratic Republic of the Congo,614295565,Panga,1.8453341,26.3979388
Democratic Republic of the Congo,614298292,Kole,2.1366388,25.3477145
Democratic Republic of the Congo,614576675,Lwebo,-5.3535845,21.4197459
Democratic Republic of the Congo,614581713,Mweka,-4.8476882,21.5612
Democratic Republic of the Congo,614588264,Mopangu,-5.2308959,21.42027
Democratic Republic of the Congo,615661583,Dingila,3.6505745,26.056213
Democratic Republic of the Congo,615744675,Ingende,-0.3092522,18.9661639
Democratic Republic of the Congo,615757234,Yaligimba,2.2244122,22.9296116
Democratic Republic of the Congo,615757622,Bokata,2.2708779,23.0597691
Democratic Republic of the Congo,615866042,Ebonda,2.2094208,22.3585618
Democratic Republic of the Congo,615876896,Yambata,2.4296078,21.9636706
Democratic Republic of the Congo,616107607,Katako-Kombe,-3.3981629,24.4213923
Democratic Republic of the Congo,616139616,Popokabaka,-5.6931949,16.5841079
Democratic Republic of the Congo,616219188,Bendela,-3.3057092,17.5937281
Democratic Republic of the Congo,616219544,Dima,-3.2743469,17.4816333
Democratic Republic of the Congo,616231042,Masia Mbio,-3.7409128,16.6516237
Democratic Republic of the Congo,616238412,Fatundu,-4.1168193,17.2192974
Democratic Republic of the Congo,616369924,Zanza,-5.7416663,26.9422674
Democratic Republic of the Congo,616383623,Luizi,-6.0430362,27.4584656
Democratic Republic of the Congo,616660710,Yandongi,2.8476945,22.2724452
Democratic Republic of the Congo,616661354,Monzamboli,2.4742198,22.1026721
Democratic Republic of the Congo,617088496,Kasomeno,-10.7547471,28.2802449
Democratic Republic of the Congo,617130526,Fizi,-4.3003444,28.9428932
Democratic Republic of the Congo,617135067,Lubondja,-4.6613291,28.7660288
Democratic Republic of the Congo,617135465,Lubimba,-4.7156061,28.6707612
Democratic Republic of the Congo,617397438,Songololo,-5.701277,14.0370461
Democratic Republic of the Congo,617433888,Sona Pangu,-5.5183448,13.908883
Democratic Republic of the Congo,617434148,Konzo,-5.4165001,13.8257989
Democratic Republic of the Congo,617434498,Kinganga,-5.2963492,13.7396249
Democratic Republic of the Congo,617437822,Dende,-4.7891739,13.8177308
Democratic Republic of the Congo,617438675,Lwozi,-4.9473878,14.1311845
Democratic Republic of the Congo,617648161,Gongo,-4.3996515,17.6989453
Democratic Republic of the Congo,617649226,Kitoi,-4.4058131,17.8189366
Democratic Republic of the Congo,617981505,Luali,-5.1070142,12.4941524
Democratic Republic of the Congo,618012891,Lusanga,-4.8364407,18.7277928
Democratic Republic of the Congo,618491030,Sangila,-5.2886286,13.6011043
Democratic Republic of the Congo,618500293,Lufu-Toto,-5.446548,14.7610203
Democratic Republic of the Congo,618524223,Kipushi,-11.7602295,27.2365303
Democratic Republic of the Congo,619168290,Kisenso,-4.412872,15.3407472
Democratic Republic of the Congo,619469292,Mbali-Iboma,-2.3831611,17.287009
Democratic Republic of the Congo,619470811,Ntandembele,-2.1881375,17.170451
Democratic Republic of the Congo,619496051,Mawuya,3.2273282,18.6749953
Democratic Republic of the Congo,619514546,Dongo,2.7213045,18.4059982
Democratic Republic of the Congo,619541936,Mbari,3.3207708,19.3899387
Democratic Republic of the Congo,619555665,Binga,2.3744884,20.5219197
Democratic Republic of the Congo,620495904,Monga,4.2003388,22.8113112
Democratic Republic of the Congo,620522985,Bengamisa,0.9259861,25.2119795
Democratic Republic of the Congo,620851826,Yuki,-3.9414728,19.4462036
Democratic Republic of the Congo,620854565,Panu,-3.7986337,19.1178154
Democratic Republic of the Congo,620992778,Ndjoko-Punda,-5.4508953,20.9693846
Democratic Republic of the Congo,620992782,Mutombo-Lamata,-5.47892,21.002172
Democratic Republic of the Congo,621007732,Demba,-5.4689534,22.2732951
Democratic Republic of the Congo,621011314,Kakenge,-4.8683433,21.9112906
Democratic Republic of the Congo,621111108,Maluku,-4.0561176,15.5581814
Democratic Republic of the Congo,621121665,Titulé,3.2748342,25.5218468
Democratic Republic of the Congo,621235472,Kabinda,-6.1368376,24.4862256
Democratic Republic of the Congo,621239873,Samba,-4.6414642,26.360979
Democratic Republic of the Congo,621530895,Kinda,-9.305645,25.0581796
Democratic Republic of the Congo,621538523,Sokele,-9.9153732,24.6032951
Democratic Republic of the Congo,622478005,Mulongo,-7.8332591,26.9975944
Democratic Republic of the Congo,623045798,Mutshatsha,-10.6432844,24.460964
Democratic Republic of the Congo,623063996,Kafankumba,-9.6772985,23.759384
Democratic Republic of the Congo,623078581,Luanza,-9.2796986,25.0765833
Democratic Republic of the Congo,623877239,Mbulungu,-6.0556272,21.9021756
Democratic Republic of the Congo,624655106,Kwilu-Ngongo,-5.5011149,14.6879179
Democratic Republic of the Congo,625688934,Kimpese,-5.561793,14.4288611
Democratic Republic of the Congo,625788917,Lukala,-5.5073661,14.5236895
