Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F
4,Algeria,22008,Gross Domestic Product,6109,Value Local Currency,millions,25451.14002,XAM,26349.80113,XAM,32154.09469,XAM,36572.33562,XAM,55435.76105,XAM,61435.20726,XAM,73908.02901,XAM,87044.35178,XAM,104595.7003,XAM,127933.9751,XAM,162140.6962,XAM,191037.4135,XAM,207084.1611,XAM,233225.1042,XAM,263261.2474,XAM,290939.717,XAM,295882.9493,XAM,312001.2354,XAM,346933.1182,XAM,421091.6812,XAM,553138.4647,XAM,860189.4835,XAM,1072272.551,XAM,1187042.267,XAM,1484051.272,XAM,2000475.58,XAM,2564236.946,XAM,2773903.274,XAM,2824110.846,XAM,3230898.842,XAM,4114219.269,XAM,4251206.79,XAM,4527462.68,XAM,5252321.1,XAM,6149116.7,XAM,7561984.3,XAM,8501635.8,XAM,9352886.4,XAM,11043703.5,XAM,9968025.3,XAM,11991563.9,XAM,14588531.9,XAM,16208698.4,XAM,16650180.61,XAM,17228597.8,XAM,16702118.6,XAM,17406826.2,XAM
4,Algeria,22008,Gross Domestic Product,6110,Value US$,millions,5155.120658,XAM,5363.67616,XAM,7176.428384,XAM,9229.6222,XAM,13259.76465,XAM,15555.54708,XAM,17750.03249,XAM,20990.93914,XAM,26373.76139,XAM,33201.43301,XAM,42252.19774,XAM,44264.57312,XAM,45094.84277,XAM,48702.20186,XAM,52827.90226,XAM,57866.20728,XAM,62922.80387,XAM,64333.57832,XAM,58655.41918,XAM,55344.47694,XAM,61751.37596,XAM,46565.0032,XAM,49105.5536,XAM,50846.93034,XAM,42330.71115,XAM,41971.48842,XAM,46836.2905,XAM,48068.45703,XAM,48079.00797,XAM,48531.03176,XAM,54666.89686,XAM,55056.73306,XAM,56819.21089,XAM,67863.85163,XAM,85332.51782,XAM,103198.2161,XAM,117027.2779,XAM,134977.0884,XAM,171000.6921,XAM,137211.0084,XAM,161207.305,XAM,200013.0965,XAM,209047.4795,XAM,209783.4984,XAM,213809.9782,XAM,165874.276,XAM,159049.1452,XAM
4,Algeria,22008,Gross Domestic Product,6114,"Value Local Currency, 2005 prices",millions,2119291.574,XAM,1917477.328,XAM,2344142.651,XAM,2445436.948,XAM,2537584.268,XAM,2685436.193,XAM,2851630.467,XAM,3120038.575,XAM,3437472.543,XAM,3694520.777,XAM,3723729.916,XAM,3835441.668,XAM,4080910.093,XAM,4301279.361,XAM,4542150.856,XAM,4710210.313,XAM,4729051.201,XAM,4695947.96,XAM,4648988.223,XAM,4853543.805,XAM,4892372.183,XAM,4833663.689,XAM,4920669.746,XAM,4817335.644,XAM,4773979.79,XAM,4955390.773,XAM,5158561.719,XAM,5215305.895,XAM,5481286.683,XAM,5656687.942,XAM,5871642.084,XAM,6047791.347,XAM,6386467.662,XAM,6846293.334,XAM,7140683.947,XAM,7561984.3,XAM,7690538.033,XAM,7952016.326,XAM,8142864.718,XAM,8273150.554,XAM,8570983.973,XAM,8819542.509,XAM,9119406.954,XAM,9374750.349,XAM,9730990.862,XAM,10100768.51,XAM,,
4,Algeria,22008,Gross Domestic Product,6166,"Value Local Currency, 2010 prices",millions,2965076.17,XAM,2682720.207,XAM,3279662.695,XAM,3421382.366,XAM,3550304.609,XAM,3757162.515,XAM,3989682.99,XAM,4365209.65,XAM,4809327.818,XAM,5168961.011,XAM,5209827.177,XAM,5366121.788,XAM,5709553.804,XAM,6017869.882,XAM,6354870.386,XAM,6590000.416,XAM,6616360.484,XAM,6570046.124,XAM,6504345.302,XAM,6790536.636,XAM,6844860.968,XAM,6762722.597,XAM,6884451.759,XAM,6739878.22,XAM,6679219.549,XAM,6933029.543,XAM,7217283.649,XAM,7296673.764,XAM,7668804.39,XAM,7914206.249,XAM,8214946.087,XAM,8461394.469,XAM,8935232.559,XAM,9578569.304,XAM,9990447.784,XAM,10579884.2,XAM,10759742.23,XAM,11125573.47,XAM,11392587.23,XAM,11574868.63,XAM,11991563.9,XAM,12339319.25,XAM,12758856.11,XAM,13116104.08,XAM,13614516.03,XAM,14118253.13,XAM,14584155.48,XAM
4,Algeria,22008,Gross Domestic Product,6108,"Value US$, 2005 prices",millions,28921.92064,XAM,26167.76652,XAM,31990.45782,XAM,33372.81863,XAM,34630.35088,XAM,36648.08249,XAM,38916.13172,XAM,42579.09065,XAM,46911.1043,XAM,50419.03531,XAM,50817.65172,XAM,52342.17928,XAM,55692.08091,XAM,58699.45497,XAM,61986.62241,XAM,64280.12573,XAM,64537.24688,XAM,64085.48775,XAM,63444.62935,XAM,66236.19442,XAM,66766.08436,XAM,65964.89095,XAM,67152.26051,XAM,65742.06253,XAM,65150.38623,XAM,67626.09752,XAM,70398.76648,XAM,71173.15287,XAM,74802.98623,XAM,77196.68295,XAM,80130.1569,XAM,82534.06161,XAM,87155.96906,XAM,93431.19883,XAM,97448.74038,XAM,103198.2161,XAM,104952.5857,XAM,108520.9737,XAM,111125.477,XAM,112903.4847,XAM,116968.0101,XAM,120360.0824,XAM,124452.3252,XAM,127936.9903,XAM,132798.5959,XAM,137844.9426,XAM,,
4,Algeria,22008,Gross Domestic Product,6167,"Value US$, 2010 prices",millions,39860.68393,XAM,36064.86178,XAM,44089.79417,XAM,45994.9874,XAM,47728.13977,XAM,50509.01187,XAM,53634.87597,XAM,58683.2284,XAM,64653.68343,XAM,69488.37374,XAM,70037.75367,XAM,72138.88354,XAM,76755.77505,XAM,80900.58922,XAM,85431.01941,XAM,88591.96479,XAM,88946.33353,XAM,88323.7114,XAM,87440.46944,XAM,91287.85198,XAM,92018.15533,XAM,90913.93692,XAM,92550.38988,XAM,90606.83099,XAM,89791.37264,XAM,93203.44012,XAM,97024.77974,XAM,98092.05226,XAM,103094.7505,XAM,106393.7841,XAM,110436.7479,XAM,113749.8503,XAM,120119.8419,XAM,128768.4705,XAM,134305.5148,XAM,142229.5402,XAM,144647.4423,XAM,149565.4554,XAM,153155.0263,XAM,155605.5067,XAM,161207.305,XAM,165882.3168,XAM,171522.3156,XAM,176324.9404,XAM,183025.2882,XAM,189797.2238,XAM,196060.5322,XAM
4,Algeria,22008,Gross Domestic Product,6155,Annual growth Local Currency,%,,,3.530927,Fc,22.027846,Fc,13.740835,Fc,51.5784,Fc,10.822339,Fc,20.3024,Fc,17.773878,Fc,20.163685,Fc,22.312843,Fc,26.737793,Fc,17.822002,Fc,8.399793,Fc,12.623343,Fc,12.878606,Fc,10.513689,Fc,1.699057,Fc,5.447521,Fc,11.196072,Fc,21.375464,Fc,31.358203,Fc,55.510697,Fc,24.65539,Fc,10.703409,Fc,25.020929,Fc,34.798279,Fc,28.181367,Fc,8.176558,Fc,1.809997,Fc,14.404109,Fc,27.339774,Fc,3.329612,Fc,6.498293,Fc,16.010257,Fc,17.074272,Fc,22.976757,Fc,12.425991,Fc,10.012786,Fc,18.078025,Fc,-9.740194,Fc,20.300296,Fc,21.656625,Fc,11.105754,Fc,2.723736,Fc,3.473939,Fc,-3.055845,Fc,4.219271,Fc
4,Algeria,22008,Gross Domestic Product,6170,"Annual growth, Local Currency, 2010 prices",%,,,-9.522722,FC,22.251388,FC,4.321166,FC,3.768133,FC,5.826483,FC,6.188725,FC,9.412444,FC,10.17404,FC,7.477827,FC,0.790607,FC,2.999996,FC,6.400004,FC,5.400003,FC,5.599997,FC,3.699997,FC,0.400001,FC,-0.699998,FC,-1.000005,FC,4.400002,FC,0.800001,FC,-1.200001,FC,1.800002,FC,-2.100001,FC,-0.899997,FC,3.799995,FC,4.099998,FC,1.1,FC,5.100004,FC,3.200002,FC,3.8,FC,3,FC,5.6,FC,7.2,FC,4.3,FC,5.9,FC,1.7,FC,3.4,FC,2.4,FC,1.6,FC,3.6,FC,2.9,FC,3.4,FC,2.8,FC,3.8,FC,3.7,FC,3.3,FC
4,Algeria,22008,Gross Domestic Product,6129,Annual growth US$,%,,,4.045599,Fc,33.796825,Fc,28.610246,Fc,43.665302,Fc,17.3139,Fc,14.107414,Fc,18.258596,Fc,25.643551,Fc,25.888122,Fc,27.260163,Fc,4.762771,Fc,1.875698,Fc,7.999494,Fc,8.471281,Fc,9.537204,Fc,8.738428,Fc,2.242072,Fc,-8.82612,Fc,-5.644734,Fc,11.576402,Fc,-24.592768,Fc,5.455922,Fc,3.546191,Fc,-16.748738,Fc,-0.84861,Fc,11.59073,Fc,2.630794,Fc,0.02195,Fc,0.940169,Fc,12.643179,Fc,0.713112,Fc,3.201203,Fc,19.438216,Fc,25.740753,Fc,20.936565,Fc,13.400485,Fc,15.338142,Fc,26.68868,Fc,-19.759969,Fc,17.488609,Fc,24.071981,Fc,4.516896,Fc,0.352082,Fc,1.91935,Fc,-22.419769,Fc,-4.114641,Fc
4,Algeria,22008,Gross Domestic Product,6171,"Annual growth, US$, 2010 prices",%,,,-9.522722,Fc,22.251388,Fc,4.321166,Fc,3.768133,Fc,5.826483,Fc,6.188725,Fc,9.412444,Fc,10.17404,Fc,7.477827,Fc,0.790607,Fc,2.999996,Fc,6.400004,Fc,5.400003,Fc,5.599997,Fc,3.699997,Fc,0.400001,Fc,-0.699998,Fc,-1.000005,Fc,4.400002,Fc,0.800001,Fc,-1.200001,Fc,1.800002,Fc,-2.100001,Fc,-0.899997,Fc,3.799995,Fc,4.099998,Fc,1.1,Fc,5.100004,Fc,3.200002,Fc,3.8,Fc,3,Fc,5.6,Fc,7.2,Fc,4.3,Fc,5.9,Fc,1.7,Fc,3.4,Fc,2.4,Fc,1.6,Fc,3.6,Fc,2.9,Fc,3.4,Fc,2.8,Fc,3.8,Fc,3.7,Fc,3.3,Fc
